"","con","fix","row1","row2","b.div","logb"
"1",0,0,1,2,0.219689599258745,-1.51553964136423
"2",0,0,3,4,0.338564702525325,-1.08304006006456
"3",0,0,5,6,0.373657500295055,-0.984415675757507
"4",0,0,7,8,0.348206392779044,-1.0549598923133
"5",0,0,9,10,0.149510095600777,-1.90039135932919
"6",0,0,11,12,0.191680261011419,-1.651926602352
"7",0,0,13,14,0.218542177108855,-1.52077625282796
"8",0,0,15,16,0.195734331150608,-1.63099699252263
"9",0,0,17,18,0.116392560713188,-2.15078665712595
"10",0,0,19,20,0.0743196693076128,-2.59937963406109
"11",0,0,21,22,0.0934618768889399,-2.37020165964166
"12",0,0,23,24,0.0972205795387345,-2.3307728662765
"13",0,0,25,26,0.0911889477043211,-2.39482157669826
"14",0,0,27,28,0.26186395286556,-1.33993017395712
"15",0,0,29,30,0.313826613246953,-1.15891463269695
"16",0,0,31,32,0.0733356535574007,-2.6127083823793
"17",0,0,33,34,0.136673530084649,-1.9901601890813
"18",0,0,35,36,0.33450495049505,-1.09510359983712
"19",0,0,37,38,0.406856599368812,-0.899294491327513
"20",0,0,39,40,0.171053171833299,-1.76578082441973
"21",0,0,41,42,0.0986033519553073,-2.31665002246145
"22",0,0,43,44,0.22930630832879,-1.47269657825035
"23",0,0,45,46,0.349272979054873,-1.05190148757678
"24",0,0,47,48,0.223334530436344,-1.49908449511687
"25",0,0,49,50,0.0381443877264823,-3.26637664278171
"26",0,0,51,52,0.0660480144268701,-2.71737331013304
"27",0,0,53,54,0.330864197530864,-1.10604726715563
"28",0,0,55,56,0.0956268460781096,-2.34730168162979
"29",0,0,57,58,0.152536342380807,-1.88035240063234
"30",0,0,59,60,0.264743356388788,-1.32899438871996
"31",0,0,61,62,0.102965820959507,-2.27335818116662
"32",0,0,63,64,0.457101891679386,-0.782848955216367
"33",0,0,65,66,0.12145807146705,-2.10818616656524
"34",0,0,67,68,0.0390070921985816,-3.24401179813974
"35",0,0,69,70,0.0899886034890857,-2.40807224456891
"36",0,0,71,72,0.216849708852362,-1.52855075132393
"37",0,0,73,74,0.268815867193086,-1.31372864233915
"38",0,0,75,76,0.077860097268306,-2.55284168752876
"39",0,0,77,78,0.021872841495905,-3.82250952608002
"40",0,0,79,80,0.207059795386668,-1.57474766082843
"41",0,0,81,82,0.246820150444495,-1.39909534342607
"42",0,0,83,84,0.18556108770586,-1.68437113736831
"43",0,0,85,86,0.074871582005915,-2.59198087292518
"44",0,0,87,88,0.423524404086266,-0.859144141789313
"45",0,0,89,90,0.0720911985969447,-2.62982331430708
"46",0,0,91,92,0.205320358005398,-1.58318379764555
"47",0,0,93,94,0.119494370926328,-2.12448601393907
"48",0,0,95,96,0.109221955276289,-2.21437318023664
"49",0,0,97,98,0.115748752926804,-2.15633335992433
"50",0,0,99,100,0.0676278836509529,-2.69373490093604
"51",0,0,101,102,0.0920278429411991,-2.38566410705434
"52",0,0,103,104,0.239079563182527,-1.43095888210435
"53",0,0,105,106,0.176707433690674,-1.73325983098466
"54",0,0,107,108,0.27608153435968,-1.28705904254455
"55",0,0,109,110,0.302067504719805,-1.19710476102312
"56",0,0,111,112,0.280637813211845,-1.27069036197575
"57",0,0,113,114,0.100504067916519,-2.29755707552088
"58",0,0,115,116,0.0981988056251204,-2.32076122637266
"59",0,0,117,118,0.103922622246104,-2.26410867362306
"60",0,0,119,120,0.219018648326941,-1.51859840061306
"61",0,0,121,122,0.0851589804790725,-2.46323541085717
"62",0,0,123,124,0.315327326222876,-1.15414404881299
"63",0,0,125,126,0.231823266219239,-1.46177998115811
"64",0,0,127,128,0.475980541197933,-0.742378305422597
"65",0,0,129,130,0.204186893203884,-1.58871956138463
"66",0,0,131,132,0.279911199282037,-1.27328287153543
"67",0,0,133,134,0.305843278540869,-1.18468246986047
"68",0,0,135,136,0.304326152750579,-1.18965528180052
"69",0,0,137,138,0.211982241303605,-1.55125277525464
"70",0,0,139,140,0.22491263105342,-1.49204325861743
"71",0,0,141,142,0.201959021435669,-1.59969046634051
"72",0,0,143,144,0.129638945861228,-2.04300203201901
"73",0,0,145,146,0.169332045365103,-1.77589372621229
"74",0,0,147,148,0.12936660268714,-2.04510502383511
"75",0,0,149,150,0.37051051423609,-0.992873456143693
"76",0,0,151,152,0.0853794454388868,-2.46064989288439
"77",0,0,153,154,0.276802173280295,-1.28445220382329
"78",0,0,155,156,0.0719946272666219,-2.63116378404731
"79",0,0,157,158,0.237945318972659,-1.43571438392346
"80",0,0,159,160,0.153577340445098,-1.87355099229507
"81",0,0,161,162,0.442006896207086,-0.816429794747678
"82",0,0,163,164,0.0665451845852737,-2.7098740946061
"83",0,0,165,166,0.186786906481989,-1.67778684942358
"84",0,0,167,168,0.0353894820086991,-3.34134062138916
"85",0,0,169,170,0.325447419370071,-1.12255436841576
"86",0,0,171,172,0.41901705115346,-0.86984366501102
"87",0,0,173,174,0.354165438358587,-1.03799113502168
"88",0,0,175,176,0.0928648909244305,-2.37660962790411
"89",0,0,177,178,0.182129935504169,-1.7030349152915
"90",0,0,179,180,0.0404631632523222,-3.207363268086
"91",0,0,181,182,0.37272030651341,-0.986926989104837
"92",0,0,183,184,0.400506148405308,-0.91502616076807
"93",0,0,185,186,0.142871587462083,-1.94580904193223
"94",0,0,187,188,0.527434563485612,-0.639730471591028
"95",0,0,189,190,0.321892393320965,-1.13353797152208
"96",0,0,191,192,0.111258662904096,-2.19589749216654
"97",0,0,193,194,0.118876500524455,-2.1296701354879
"98",0,0,195,196,0.27915581745923,-1.27598516753881
"99",0,0,197,198,0.086804017131886,-2.44410237806547
"100",0,0,199,200,0.334524196167587,-1.09504606670082
"101",0,0,201,202,0.115425794761983,-2.15912742508554
"102",0,0,203,204,0.219001444192284,-1.51867695470207
"103",0,0,205,206,0.269667202980777,-1.31056666178986
"104",0,0,207,208,0.243069611898266,-1.41440740794877
"105",0,0,209,210,0.207748122374507,-1.57142888319593
"106",0,0,211,212,0.180547747168902,-1.71176000893883
"107",0,0,213,214,0.24478836107992,-1.40736127408242
"108",0,0,215,216,0.527350427350427,-0.639890003886414
"109",0,0,217,218,0.280587473701246,-1.27086975343194
"110",0,0,219,220,0.103424519906995,-2.26891320858892
"111",0,0,221,222,0.0829953055922702,-2.48897123191434
"112",0,0,223,224,0.362837644558866,-1.01379980493636
"113",0,0,225,226,0.0145936357772522,-4.22716975097
"114",0,0,227,228,0.270996112921591,-1.30565080166807
"115",0,0,229,230,0.380096254909554,-0.967330755943778
"116",0,0,231,232,0.0799062187716196,-2.52690159730349
"117",0,0,233,234,0.146575723830735,-1.92021309784806
"118",0,0,235,236,0.238032605309612,-1.4353476175947
"119",0,0,237,238,0.0513901549680948,-2.96830866245239
"120",0,0,239,240,0.191944955216798,-1.65054663963742
"121",0,0,241,242,0.218924564045271,-1.51902806491866
"122",0,0,243,244,0.240180644340553,-1.42636395401295
"123",0,0,245,246,0.0855640957681774,-2.45848952578537
"124",0,0,247,248,0.332390381895332,-1.10144515175241
"125",0,0,249,250,0.0631285507604362,-2.76258214329829
"126",0,100,251,252,0.100215754480208,-2.30042987234937
"127",0,100,253,254,0.0512031773226384,-2.97195369177935
"128",0,100,255,256,0.262493863524791,-1.33752757427212
"129",0,100,257,258,0.172244443319326,-1.75884062900305
"130",0,100,259,260,0.238704467207889,-1.43252903107477
"131",0,100,261,262,0.304829185997469,-1.18800370516895
"132",0,100,263,264,0.173662521425185,-1.75064139513462
"133",0,100,265,266,0.0657364572451873,-2.72210160259694
"134",0,100,267,268,0.278965241709948,-1.27666808660649
"135",0,100,269,270,0.0928084784254353,-2.37721728102021
"136",0,100,271,272,0.0986772672905087,-2.31590068034216
"137",0,100,273,274,0.0593466219525981,-2.82436007694146
"138",0,100,275,276,0.15614516620921,-1.85696915180514
"139",0,100,277,278,0.167483088406811,-1.78687289754975
"140",0,100,279,280,0.13413167104112,-2.0089333417761
"141",0,100,281,282,0.106154835942526,-2.24285653423963
"142",0,100,283,284,0.100908754471812,-2.29353859154281
"143",0,100,285,286,0.294535396576213,-1.22235609100361
"144",0,100,287,288,0.371743357096565,-0.98955156307775
"145",0,100,289,290,0.247356366648799,-1.39692520220649
"146",0,100,291,292,0.188326215171853,-1.66957963276576
"147",0,100,293,294,0.0485462055560055,-3.02523924268518
"148",0,100,295,296,0.144310751731342,-1.9357863064053
"149",0,100,297,298,0.0984396589492131,-2.31831151802021
"150",0,100,299,300,0.133784504600613,-2.01152494815436
"151",0,100,301,302,0.257064687804512,-1.35842752223943
"152",0,100,303,304,0.0810723860589812,-2.51241286833248
"153",0,100,305,306,0.0763406692558158,-2.5725494649257
"154",0,100,307,308,0.306887286098147,-1.18127474506974
"155",0,100,309,310,0.243599654404074,-1.41222916184989
"156",0,100,311,312,0.308265919464907,-1.17679249361621
"157",0,100,313,314,0.101176398316798,-2.29088976754182
"158",0,100,315,316,0.151076984443558,-1.88996574133471
"159",0,100,317,318,0.11831402514173,-2.13441295930451
"160",0,100,319,320,0.656832699479378,-0.420325936030557
"161",0,100,321,322,0.462423989230841,-0.771273083145198
"162",0,100,323,324,0.197715332337205,-1.62092699826081
"163",0,100,325,326,0.110160999398757,-2.20581235235564
"164",0,100,327,328,0.107901838421319,-2.22653336866747
"165",0,100,329,330,0.4354242008563,-0.8314345486848
"166",0,100,331,332,0.124132407901762,-2.08640647741668
"167",0,100,333,334,0.117927774973615,-2.13768291840655
"168",0,100,335,336,0.119765658789761,-2.12221828890355
"169",0,100,337,338,0.212190630193595,-1.55027020932099
"170",0,100,339,340,0.145023547880691,-1.9308591505697
"171",0,100,341,342,0.273131313131313,-1.29780259895983
"172",0,100,343,344,0.0643096345908781,-2.74404582084687
"173",0,100,345,346,0.253338494290691,-1.37302876237728
"174",0,100,347,348,0.309575480677708,-1.17255333718022
"175",0,100,349,350,0.409818916384099,-0.892039884203394
"176",0,100,351,352,0.0773371188596102,-2.55958124641117
"177",0,100,353,354,0.0892282572155789,-2.41655750463391
"178",0,100,355,356,0.0330501179024591,-3.40973014529416
"179",0,100,357,358,0.479275653923541,-0.735479369175429
"180",0,100,359,360,0.170666762620992,-1.76804238037852
"181",0,100,361,362,0.249844651575677,-1.38691594796226
"182",0,100,363,364,0.0573992683632918,-2.85772372202196
"183",0,100,365,366,0.328596234692012,-1.11292553208122
"184",0,100,367,368,0.284904574237258,-1.25560098201833
"185",0,100,369,370,0.288219846182705,-1.24403173525222
"186",0,100,371,372,0.237291109259178,-1.43846758249102
"187",0,100,373,374,0.0872060581905141,-2.4394814758186
"188",0,100,375,376,0.249973287744417,-1.38640121585099
"189",0,100,377,378,0.531610775151182,-0.631843683064828
"190",0,100,379,380,0.199746246563756,-1.61070748518186
"191",0,100,381,382,0.20070796460177,-1.60590433985279
"192",0,100,383,384,0.0999833291656247,-2.30275181523518
"193",0,100,385,386,0.136902637319056,-1.98848528230751
"194",0,100,387,388,0.481435590685751,-0.730982824737908
"195",0,100,389,390,0.0546077684691546,-2.90757912669722
"196",0,100,391,392,0.219983406424084,-1.51420316081948
"197",0,100,393,394,0.216294642857143,-1.53111371351826
"198",0,100,395,396,0.190388816076889,-1.65868689744205
"199",0,100,397,398,0.229101801127182,-1.47358882780247
"200",0,100,399,400,0.0372850625804188,-3.2891624995536
"201",0,100,401,402,0.191866434534173,-1.65095580250136
"202",0,100,403,404,0.219212278106509,-1.51771471221734
"203",0,100,405,406,0.334727652996272,-1.09443805393191
"204",0,100,407,408,0.250640908258561,-1.38373400858734
"205",0,100,409,410,0.210600619955191,-1.55779173552975
"206",0,100,411,412,0.278760593220339,-1.27740195434571
"207",0,100,413,414,0.319570840118785,-1.14077630792966
"208",0,100,415,416,0.297385914480776,-1.21272460828088
"209",0,100,417,418,0.127650028042625,-2.05846291561096
"210",0,100,419,420,0.525211172721148,-0.643954863510255
"211",0,100,421,422,0.175816818425281,-1.73831263035882
"212",0,100,423,424,0.137397598027519,-1.98487638095136
"213",0,100,425,426,0.218192961846877,-1.52237546161724
"214",0,100,427,428,0.459487590072058,-0.777643345011261
"215",0,100,429,430,0.051555587269873,-2.96509468894389
"216",0,100,431,432,0.188572424004878,-1.66827313365722
"217",0,100,433,434,0.268048449866632,-1.31658753172613
"218",0,100,435,436,0.123746510906647,-2.08952007262457
"219",0,100,437,438,0.394338677354709,-0.930545151723005
"220",0,100,439,440,0.141525613302513,-1.95527456554107
"221",0,100,441,442,0.115276273022752,-2.16042365759531
"222",0,100,443,444,0.026594794210495,-3.62703978871984
"223",0,100,445,446,0.532390424687063,-0.630378177808749
"224",0,100,447,448,0.0912178408271219,-2.39450477792915
"225",0,100,449,450,0.122873699295906,-2.09659828615858
"226",0,100,451,452,0.13201069673316,-2.02487232382172
"227",0,100,453,454,0.259854278861384,-1.3476342710041
"228",0,100,455,456,0.524857768052516,-0.64462797109063
"229",0,100,457,458,0.28456007109962,-1.25681090148387
"230",0,100,459,460,0.0996158954661306,-2.30643353409176
"231",0,100,461,462,0.0830334301695356,-2.48851197914993
"232",0,100,463,464,0.0827124868835257,-2.49238469822308
"233",0,100,465,466,0.126550634404038,-2.06711277893334
"234",0,100,467,468,0.116459197786999,-2.15021430091048
"235",0,100,469,470,0.134447325458561,-2.00658278892655
"236",0,100,471,472,0.160106147722247,-1.8319182604522
"237",0,100,473,474,0.136658621614374,-1.99026927592087
"238",0,100,475,476,0.436148731839448,-0.829771965731925
"239",0,100,477,478,0.102291159772912,-2.27993202449057
"240",0,100,479,480,0.271113418115754,-1.30521802862396
"241",0,100,481,482,0.412387110564848,-0.885792782020186
"242",0,100,483,484,0.119112710662006,-2.12768508571243
"243",0,100,485,486,0.128030368389268,-2.05548779016142
"244",0,100,487,488,0.0467945523999336,-3.06198848454456
"245",0,100,489,490,0.172208114332959,-1.75905156653679
"246",0,100,491,492,0.0916279191951034,-2.39001925903615
"247",0,100,493,494,0.122069763597289,-2.10316256491827
"248",0,100,495,496,0.713341897595889,-0.337794453730875
"249",0,100,497,498,0.0868950401244388,-2.44305432400781
"250",0,100,499,500,0.113684295911746,-2.17433000639511
"251",0,200,501,502,0.0833931849014444,-2.48418868876637
"252",0,200,503,504,0.15477368847296,-1.86579130337815
"253",0,200,505,506,0.186333187997939,-1.68021887447074
"254",0,200,507,508,0.0819504836276511,-2.50164007231305
"255",0,200,509,510,0.30058858151854,-1.20201278801833
"256",0,200,511,512,0.0960208867185611,-2.34318954119421
"257",0,200,513,514,0.170559215216585,-1.76867273923132
"258",0,200,515,516,0.124173681457174,-2.08607403646931
"259",0,200,517,518,0.163602854307452,-1.81031340809862
"260",0,200,519,520,0.0730555086890501,-2.61653573378535
"261",0,200,521,522,0.335347432024169,-1.09258817406473
"262",0,200,523,524,0.0947934701953995,-2.35605475188885
"263",0,200,525,526,0.251815329448678,-1.37905927976239
"264",0,200,527,528,0.0890231717181329,-2.41885858675332
"265",0,200,529,530,0.352673344607779,-1.04221301985047
"266",0,200,531,532,0.382552599401273,-0.960889120395266
"267",0,200,533,534,0.0708382939981791,-2.6473555488225
"268",0,200,535,536,0.0849615358431479,-2.46555664440204
"269",0,200,537,538,0.178018575851393,-1.72586737541935
"270",0,200,539,540,0.287521535810977,-1.24645751438152
"271",0,200,541,542,0.515887331760788,-0.661866886643052
"272",0,200,543,544,0.359906529456702,-1.02191092164243
"273",0,200,545,546,0.145088388911209,-1.93041214358119
"274",0,200,547,548,0.458658839467148,-0.779448614417797
"275",0,200,549,550,0.031113788582161,-3.47010419528273
"276",0,200,551,552,0.0395599181518935,-3.229938841191
"277",0,200,553,554,0.356349743304016,-1.03184260538245
"278",0,200,555,556,0.109943502824859,-2.20778865581597
"279",0,200,557,558,0.252573310764445,-1.37605373274596
"280",0,200,559,560,0.254356449186158,-1.36901865247689
"281",0,200,561,562,0.0740322628561243,-2.60325429624939
"282",0,200,563,564,0.110870238463921,-2.19939478435757
"283",0,200,565,566,0.509050136152491,-0.675208767965083
"284",0,200,567,568,0.428464761272659,-0.847546781729345
"285",0,200,569,570,0.225509626274066,-1.48939243237375
"286",0,200,571,572,0.154533314914583,-1.86734557537415
"287",0,200,573,574,0.0503472903504297,-2.98881047754318
"288",0,200,575,576,0.112185109162157,-2.18760501161603
"289",0,200,577,578,0.304864605799185,-1.18788751634685
"290",0,200,579,580,0.313652241412769,-1.15947041824216
"291",0,200,581,582,0.150490925319845,-1.89385249348924
"292",0,200,583,584,0.184160432068706,-1.69194798785197
"293",0,200,585,586,0.08642788889255,-2.44844486714878
"294",0,200,587,588,0.0536445038693732,-2.92537625934009
"295",0,200,589,590,0.234530246314525,-1.45017071726179
"296",0,200,591,592,0.123933580257189,-2.08800949997229
"297",0,200,593,594,0.147788853950626,-1.9119706863657
"298",0,200,595,596,0.0974643423137877,-2.32826868772874
"299",0,200,597,598,0.239365424994168,-1.42976391987161
"300",0,200,599,600,0.34873620505518,-1.05343950202623
"301",0,200,601,602,0.667868048255494,-0.403664657509271
"302",0,200,603,604,0.249897598212623,-1.38670405218132
"303",0,200,605,606,0.329125060484758,-1.11131747739125
"304",0,200,607,608,0.0665688847717565,-2.70951800622494
"305",0,200,609,610,0.170617677795501,-1.76833002798279
"306",0,200,611,612,0.20735713668194,-1.57331267435328
"307",0,200,613,614,0.233449946178687,-1.45478758811272
"308",0,200,615,616,0.156905674147053,-1.85211045579856
"309",0,200,617,618,0.280433352947285,-1.2714191831519
"310",0,200,619,620,0.222594913380022,-1.50240169134508
"311",0,200,621,622,0.0284008087647529,-3.56133765658831
"312",0,200,623,624,0.631028938906752,-0.460403555516716
"313",0,200,625,626,0.0945320573302781,-2.35881627100004
"314",0,200,627,628,0.165239207543905,-1.80036111225359
"315",0,200,629,630,0.0485131996467009,-3.02591936040294
"316",0,200,631,632,0.540385356454721,-0.615472770867384
"317",0,200,633,634,0.211569458539789,-1.55320192523872
"318",0,200,635,636,0.134310903202591,-2.0075979933232
"319",0,200,637,638,0.122207739673693,-2.10203289813169
"320",0,200,639,640,0.307057904331973,-1.18071893572103
"321",0,200,641,642,0.272394077114793,-1.30050544828094
"322",0,200,643,644,0.0692277482237852,-2.67035351083902
"323",0,200,645,646,0.264844083724904,-1.32861398945177
"324",0,200,647,648,0.223663971603234,-1.49761048021509
"325",0,200,649,650,0.166400649262816,-1.79335684878283
"326",0,200,651,652,0.489423873697065,-0.714526347600077
"327",0,200,653,654,0.0691512940293927,-2.67145850767853
"328",0,200,655,656,0.0658989123480486,-2.71963334219184
"329",0,200,657,658,0.0441072272083136,-3.12113162768188
"330",0,200,659,660,0.207357279194864,-1.57331198707106
"331",0,200,661,662,0.175161980147458,-1.74204413232032
"332",0,200,663,664,0.210806836978497,-1.55681302935655
"333",0,200,665,666,0.386414851378903,-0.95084374213678
"334",0,200,667,668,0.0579567295845449,-2.84805858850905
"335",0,200,669,670,0.217342146460254,-1.52628245534828
"336",0,200,671,672,0.12027954093736,-2.11793673748566
"337",0,200,673,674,0.181857494511343,-1.70453189579817
"338",0,200,675,676,0.0532478675617019,-2.93279752098409
"339",0,200,677,678,0.148293396257769,-1.90856256044693
"340",0,200,679,680,0.239135922680226,-1.43072317456402
"341",0,200,681,682,0.135052595860197,-2.00209097745326
"342",0,200,683,684,0.193419979857081,-1.64289139283415
"343",0,200,685,686,0.0532606283486035,-2.93255790090771
"344",0,200,687,688,0.128915307111842,-2.04859962425003
"345",0,200,689,690,0.1435124508519,-1.9413334820279
"346",0,200,691,692,0.0700431034482759,-2.65864446289056
"347",0,200,693,694,0.147563121496092,-1.91349925239709
"348",0,200,695,696,0.505340599455041,-0.68252262268249
"349",0,200,697,698,0.106631177707676,-2.23837933620693
"350",0,200,699,700,0.294316353887399,-1.22310005652207
"351",0,200,701,702,0.0583572612933231,-2.8411714842333
"352",0,200,703,704,0.198901501281582,-1.61494554522922
"353",0,200,705,706,0.287526579450031,-1.24643997275702
"354",0,200,707,708,0.292124747588064,-1.23057435017804
"355",0,200,709,710,0.210770339275085,-1.55698617774104
"356",0,200,711,712,0.0548356431680592,-2.90341487368658
"357",0,200,713,714,0.232550234174347,-1.4586490163276
"358",0,200,715,716,0.149310595065312,-1.90172661201642
"359",0,200,717,718,0.141755184623166,-1.95365376121835
"360",0,200,719,720,0.0952728521746597,-2.35101037590681
"361",0,200,721,722,0.503636876233437,-0.685899754247674
"362",0,200,723,724,0.237831021437579,-1.43619485143549
"363",0,200,725,726,0.202761163149381,-1.59572652881237
"364",0,200,727,728,0.427378695599564,-0.850084783854292
"365",0,200,729,730,0.0660032901336115,-2.71805068768894
"366",0,200,731,732,0.155493644436706,-1.8611504199878
"367",0,200,733,734,0.491587973515684,-0.710114365552718
"368",0,200,735,736,0.216031688122166,-1.5323301777887
"369",0,200,737,738,0.177310328527535,-1.72985381307228
"370",0,200,739,740,0.087000143328078,-2.44184551287974
"371",0,200,741,742,0.201694411414982,-1.60100154181791
"372",0,200,743,744,0.190901010633045,-1.65600025422021
"373",0,200,745,746,0.0610308172093491,-2.79637634222619
"374",0,200,747,748,0.285102704482773,-1.25490579702372
"375",0,200,749,750,0.0647395031875137,-2.73738370447836
"376",0.01,0,751,752,0.0166925876725197,-4.09279051003579
"377",0.01,0,753,754,0.169567074182368,-1.77450671254723
"378",0.01,0,755,756,0.382912685957003,-0.959948289794117
"379",0.01,0,757,758,0.176228410055252,-1.73597434093344
"380",0.01,0,759,760,0.168532032520688,-1.78062944327685
"381",0.01,0,761,762,0.39411312345743,-0.931117295519748
"382",0.01,0,763,764,0.202277920921957,-1.5981126810417
"383",0.01,0,765,766,0.62572140446424,-0.468850047734033
"384",0.01,0,767,768,0.598688875556966,-0.513013222220676
"385",0.01,0,769,770,0.516015203838584,-0.661619049131196
"386",0.01,0,771,772,0.455911089399121,-0.785457467866596
"387",0.01,0,773,774,0.215904271884977,-1.53292015525149
"388",0.01,0,775,776,0.0562515528141359,-2.877921632694
"389",0.01,0,777,778,0.0747158305227692,-2.59406328797331
"390",0.01,0,779,780,0.402900343692031,-0.909066033739702
"391",0.01,0,781,782,0.381068534170249,-0.964776040319912
"392",0.01,0,783,784,0.288632754150472,-1.24260014583736
"393",0.01,0,785,786,0.238892075166155,-1.43174339738076
"394",0.01,0,787,788,0.0639809131400123,-2.74917047228984
"395",0.01,0,789,790,0.286004293555826,-1.25174845584201
"396",0.01,0,791,792,0.195397963032818,-1.63271696402954
